offsize,cousize,num_procs,epsilon,interval,delta,alpha,num_events,avg_send_time,avg_recv_time,system_clock_time
35.0234,4.00004,32,100,40,4,0.0008,2489,641.824,355.323,1200
38.9999,4.00004,32,100,40,4,0.0016,5129,610.489,357.851,800
39.4915,4.00004,32,100,40,4,0.0032,10369,555.531,344.792,800
0.890232,4.00004,32,100,40,8,0.0001,69,1344.93,462.681,1000
3.15805,4.00004,32,100,40,8,0.0002,201,1175.12,478.551,1000
31.3663,4.00004,32,100,40,8,0.0004,752,935.904,620.018,800
37.9949,4.00004,32,100,40,8,0.0008,2545,671.552,381.735,800
36.9226,4.00004,32,100,40,8,0.0016,5057,638.995,381.788,800
39.446,4.00004,32,100,40,8,0.0032,10242,548.008,351.024,800
0.717032,4.00004,32,100,40,16,0.0001,68,1361.76,397.181,1900
6.96716,4.00004,32,100,40,16,0.0002,213,1053.99,498.255,900
21.8486,4.00004,32,100,40,16,0.0004,673,925.111,661.181,900
36.4196,4.00004,32,100,40,16,0.0008,2573,643.373,383.816,800
38.9291,4.00004,32,100,40,16,0.0016,5212,597.045,373.599,800
39.534,4.00004,32,100,40,16,0.0032,10115,553.416,339.577,900
0.587633,4.00004,32,100,40,32,0.0001,56,1323.21,392.56,1300
5.04157,4.00004,32,100,40,32,0.0002,253,1030.43,605.257,900
27.5519,4.00004,32,100,40,32,0.0004,735,807.755,464.773,900
35.245,4.00004,32,100,40,32,0.0008,2457,620.92,386.745,1200
38.7851,4.00004,32,100,40,32,0.0016,5065,640.059,420.892,800
39.4385,4.00004,32,100,40,32,0.0032,10387,548.118,329.085,800
0.584378,4.00004,32,100,40,64,0.0001,77,1310.39,434.502,1300
2.76201,4.00004,32,100,40,64,0.0002,214,1127.57,592.936,1100
23.339,4.00004,32,100,40,64,0.0004,831,861.492,538.379,800
37.9783,4.00004,32,100,40,64,0.0008,2584,654.605,404.725,800
37.079,4.00004,32,100,40,64,0.0016,5100,682.941,380.062,700
37.4065,4.00004,32,100,40,64,0.0032,10337,573.542,333.802,800
0.69934,4.00004,32,100,50,1,0.0001,83,1301.2,436.145,2100
15.9645,4.00004,32,100,50,1,0.0002,264,1005.68,490.568,900
33.2609,4.00004,32,100,50,1,0.0004,1025,884.878,521.852,1900
37.7837,4.00004,32,100,50,1,0.0008,2490,726.185,397.423,700
37.2085,4.00004,32,100,50,1,0.0016,5190,604.624,345.774,800
37.5702,4.00004,32,100,50,1,0.0032,10268,586.073,355.65,800
1.60771,4.00004,32,100,50,2,0.0001,106,1377.36,490.487,900
3.08057,4.00004,32,100,50,2,0.0002,218,947.706,430.443,1100
31.7427,4.00004,32,100,50,2,0.0004,1046,831.644,543.217,800
34.3397,4.00004,32,100,50,2,0.0008,2461,778.342,446.451,800
39.1511,4.00004,32,100,50,2,0.0016,5133,602.903,340.058,900
39.5635,4.00004,32,100,50,2,0.0032,10445,564.576,327.571,900
1.03366,4.00004,32,100,50,4,0.0001,105,1515.24,453.651,1500
1.93608,4.00004,32,100,50,4,0.0002,237,1282.7,503.27,1200
32.8492,4.00004,32,100,50,4,0.0004,934,872.912,503.854,900
35.5513,4.00004,32,100,50,4,0.0008,2477,693.864,368.833,800
37.0493,4.00004,32,100,50,4,0.0016,5185,649.142,394.163,900
39.4662,4.00004,32,100,50,4,0.0032,10318,553.266,345.178,900
