offsize,cousize,num_procs,epsilon,interval,delta,alpha,num_events,offsetscount,counterscount,maxOffset,maxCounter
31.103,0,32,1000,1,4,0.008,25632,99529674,0,999,0
31.911,1.8125e-05,32,1000,1,4,0.016,51105,102115274,58,995,1
31.9617,0,32,1000,1,4,0.032,102492,102277296,0,614,0
1.87143,0.172873,32,1000,1,8,0.001,955,5988585,553194,999,7
6.09583,0.0152169,32,1000,1,8,0.002,4623,19506669,48694,999,3
18.1417,0.00535937,32,1000,1,8,0.004,12330,58053589,17150,999,1
30.9991,0,32,1000,1,8,0.008,25491,99197027,0,999,0
31.9102,5e-06,32,1000,1,8,0.016,51154,102112711,16,998,1
31.9541,0,32,1000,1,8,0.032,102741,102253035,0,645,0
1.93309,0.145638,32,1000,1,16,0.001,1031,6185875,466041,999,8
6.02595,0.0198403,32,1000,1,16,0.002,4613,19283032,63489,999,5
18.437,0.00538219,32,1000,1,16,0.004,12697,58998337,17223,999,1
30.7147,3.75e-06,32,1000,1,16,0.008,25615,98287193,12,999,1
31.9074,1.875e-05,32,1000,1,16,0.016,51174,102103531,60,999,1
31.9527,8.4375e-06,32,1000,1,16,0.032,102050,102248699,27,718,1
1.93542,0.16254,32,1000,1,32,0.001,1145,6193356,520127,999,10
5.47824,0.0186141,32,1000,1,32,0.002,4313,17530372,59565,999,3
17.1159,0.0025125,32,1000,1,32,0.004,12627,54771000,8040,999,1
30.2749,0,32,1000,1,32,0.008,25515,96879814,0,999,0
31.8813,0,32,1000,1,32,0.016,51108,102020299,0,999,0
31.934,1.53125e-05,32,1000,1,32,0.032,102171,102188794,49,716,1
1.74562,0.166688,32,1000,1,64,0.001,898,5585972,533403,999,9
4.93732,0.0215394,32,1000,1,64,0.002,4139,15799415,68926,999,10
15.1449,0.0005225,32,1000,1,64,0.004,12650,48463676,1672,999,1
28.8293,0,32,1000,1,64,0.008,25552,92253666,0,999,0
31.8569,5.9375e-06,32,1000,1,64,0.016,51093,101942083,19,999,1
31.9129,9.6875e-06,32,1000,1,64,0.032,102625,102121258,31,833,1
1.88439,0.114381,32,1000,1,128,0.001,1194,6030045,366020,999,11
4.44414,0.0134319,32,1000,1,128,0.002,4556,14221260,42982,999,4
11.525,0.00032125,32,1000,1,128,0.004,12861,36879916,1028,999,1
23.9878,0,32,1000,1,128,0.008,25496,76761000,0,999,0
31.5376,0,32,1000,1,128,0.016,51224,100920256,0,999,0
31.8678,0,32,1000,1,128,0.032,102411,101976921,0,996,0
1.70533,0.118358,32,1000,1,256,0.001,1136,5457070,378747,999,8
3.61614,0.00652937,32,1000,1,256,0.002,5080,11571655,20894,999,4
6.79862,0,32,1000,1,256,0.004,12656,21755594,0,999,0
13.5446,6.53125e-05,32,1000,1,256,0.008,25678,43342764,209,999,1
24.9505,7.5e-06,32,1000,1,256,0.016,50882,79841589,24,999,1
31.5161,0,32,1000,1,256,0.032,102584,100851400,0,999,0
1.55838,0.069485,32,1000,1,512,0.001,1319,4986809,222352,999,8
2.32541,0.00258063,32,1000,1,512,0.002,4906,7441300,8258,999,6
3.37615,0,32,1000,1,512,0.004,12797,10803683,0,999,0
5.06613,0,32,1000,1,512,0.008,25620,16211623,0,999,0
8.17736,1.03125e-05,32,1000,1,512,0.016,50954,26167553,33,999,1
13.466,1.25e-06,32,1000,1,512,0.032,102773,43091171,4,999,1
