offsize,cousize,num_procs,epsilon,interval,delta,alpha,num_events,offsetscount,counterscount,maxOffset,maxCounter
25.6802,0.0420406,32,100,40,4,0.002,641,8217666,13453,99,1
28.7664,0.0530281,32,100,40,4,0.004,1233,9205246,16969,99,2
30.3219,0.0791969,32,100,40,4,0.008,2541,9702994,25343,56,4
31.1571,0.144287,32,100,40,4,0.016,5155,9970257,46172,26,4
31.6167,0.246544,32,100,40,4,0.032,10408,10117347,78894,14,6
14.4044,0.0154531,32,100,40,8,0.001,320,4609419,4945,99,1
24.4415,0.03985,32,100,40,8,0.002,635,7821281,12752,99,1
28.7393,0.0515562,32,100,40,8,0.004,1274,9196585,16498,84,2
30.4343,0.0829063,32,100,40,8,0.008,2656,9738968,26530,48,3
31.2847,0.147537,32,100,40,8,0.016,5089,10011117,47212,24,4
31.5547,0.237253,32,100,40,8,0.032,10280,10097501,75921,14,6
14.2039,0.0264469,32,100,40,16,0.001,319,4545252,8463,99,1
25.852,0.0130469,32,100,40,16,0.002,675,8272635,4175,99,1
28.4308,0.0427375,32,100,40,16,0.004,1240,9097864,13676,97,2
30.2972,0.0795313,32,100,40,16,0.008,2570,9695113,25450,61,4
31.1137,0.138166,32,100,40,16,0.016,5204,9956381,44213,27,4
31.4646,0.228897,32,100,40,16,0.032,10187,10068667,73247,14,6
14.0552,0.0280844,32,100,40,32,0.001,333,4497650,8987,99,1
24.1911,0.0203656,32,100,40,32,0.002,633,7741138,6517,99,2
28.534,0.04235,32,100,40,32,0.004,1292,9130896,13552,95,2
30.2401,0.0772406,32,100,40,32,0.008,2586,9676836,24717,50,3
31.02,0.138706,32,100,40,32,0.016,5041,9926397,44386,34,3
31.3108,0.226359,32,100,40,32,0.032,10162,10019449,72435,18,5
16.2452,0.00189375,32,100,40,64,0.001,331,5198466,606,99,1
24.5551,0.013375,32,100,40,64,0.002,610,7857636,4280,99,1
28.6643,0.037425,32,100,40,64,0.004,1328,9172573,11976,99,2
29.8433,0.0744625,32,100,40,64,0.008,2611,9549850,23828,53,3
30.6538,0.137688,32,100,40,64,0.016,5098,9809206,44060,33,4
31.1249,0.228784,32,100,40,64,0.032,10320,9959959,73211,22,5
17.4001,0.0488375,32,100,50,1,0.001,312,5568039,15628,99,1
25.9895,0.050625,32,100,50,1,0.002,628,8316650,16200,99,2
28.8035,0.0654437,32,100,50,1,0.004,1270,9217134,20942,70,2
30.2133,0.102731,32,100,50,1,0.008,2555,9668262,32874,49,3
31.1246,0.1892,32,100,50,1,0.016,5157,9959885,60544,19,4
31.6636,0.304881,32,100,50,1,0.032,10292,10132352,97562,11,7
19.5298,0.0208719,32,100,50,2,0.001,349,6249521,6679,99,1
25.1023,0.0444219,32,100,50,2,0.002,670,8032749,14215,99,2
28.5996,0.0695906,32,100,50,2,0.004,1234,9151885,22269,76,3
30.5692,0.122291,32,100,50,2,0.008,2599,9782141,39133,37,4
31.2477,0.181269,32,100,50,2,0.016,5167,9999272,58006,20,5
31.5817,0.299428,32,100,50,2,0.032,10428,10106131,95817,10,6
18.7203,0.0274625,32,100,50,4,0.001,339,5990506,8788,99,1
24.9945,0.0475813,32,100,50,4,0.002,645,7998227,15226,99,1
28.6709,0.0774219,32,100,50,4,0.004,1292,9174695,24775,78,2
30.3294,0.109394,32,100,50,4,0.008,2598,9705421,35006,37,3
31.2093,0.184119,32,100,50,4,0.016,5144,9986985,58918,21,5
31.5844,0.290994,32,100,50,4,0.032,10218,10107024,93118,13,6
17.3009,0.0224,32,100,50,8,0.001,317,5536287,7168,99,1
25.1492,0.0425063,32,100,50,8,0.002,601,8047750,13602,99,2
28.7463,0.0605156,32,100,50,8,0.004,1285,9198822,19365,66,2
30.2289,0.10245,32,100,50,8,0.008,2558,9673234,32784,40,3
31.2292,0.170175,32,100,50,8,0.016,5103,9993350,54456,23,4
31.5329,0.272097,32,100,50,8,0.032,10364,10090517,87071,11,6
19.3831,0.0270188,32,100,50,16,0.001,349,6202582,8646,99,1
25.2662,0.0329125,32,100,50,16,0.002,582,8085177,10532,99,1
28.3216,0.0647375,32,100,50,16,0.004,1226,9062908,20716,71,2
30.1841,0.10025,32,100,50,16,0.008,2521,9658905,32080,41,4
31.0888,0.165522,32,100,50,16,0.016,5182,9948424,52967,21,5
31.4878,0.262784,32,100,50,16,0.032,10164,10076110,84091,12,6
17.7096,0.0185344,32,100,50,32,0.001,353,5667063,5931,99,1
23.9679,0.0384875,32,100,50,32,0.002,607,7669715,12316,99,2
28.5534,0.0461,32,100,50,32,0.004,1231,9137083,14752,79,3
30.1295,0.0853906,32,100,50,32,0.008,2558,9641455,27325,44,3
